id,brand,model,screen_size_inch,resolution,refresh_rate_hz,panel_type,price_inr,segment
MON01,Zebronics,ZEB-A19HD,19.5,1366x768,60,TN,5999,Budget
MON02,Acer,EK220Q,21.5,1920x1080,75,IPS,6799,Budget-Mid
MON03,BenQ,GW2480,23.8,1920x1080,75,IPS,9499,Mid
MON04,Samsung,Odyssey G3,24,1920x1080,144,VA,12999,Mid
MON05,AOC,24G2,23.8,1920x1080,144,IPS,13499,Mid
MON06,Dell,S2421HGF,23.8,1920x1080,144,VA,14499,Mid
MON07,LG,24GN600-B,23.8,1920x1080,144,IPS,13999,Mid
MON08,MSI,G241,23.8,1920x1080,165,IPS,15499,Mid-High
MON09,Zebronics,Model 1,21.5,1920x1080,60,TN,5999,Budget
MON10,Acer,Model 2,23.8,2560x1440,75,IPS,7999,Budget-Mid
MON11,BenQ,Model 3,24,1440x1080,144,VA,9999,Mid
MON12,Samsung,Model 4,27,3840x2160,165,TN,11999,Mid-High
MON13,AOC,Model 5,32,1920x1080,240,IPS,13999,High
MON14,Dell,Model 6,21.5,2560x1440,60,VA,15999,Budget
MON15,LG,Model 7,23.8,1440x1080,75,TN,17999,Budget-Mid
MON16,MSI,Model 8,24,3840x2160,144,IPS,19999,Mid
MON17,ASUS,Model 9,27,1920x1080,165,VA,21999,Mid-High
MON18,ViewSonic,Model 10,32,2560x1440,240,TN,23999,High
MON19,Zebronics,Model 11,21.5,1440x1080,60,IPS,25999,Budget
MON20,Acer,Model 12,23.8,3840x2160,75,VA,27999,Budget-Mid
MON21,BenQ,Model 13,24,1920x1080,144,TN,29999,Mid
MON22,Samsung,Model 14,27,2560x1440,165,IPS,31999,Mid-High
MON23,AOC,Model 15,32,1440x1080,240,VA,33999,High
MON24,Dell,Model 16,21.5,3840x2160,60,TN,35999,Budget
MON25,LG,Model 17,23.8,1920x1080,75,IPS,37999,Budget-Mid
MON26,MSI,Model 18,24,2560x1440,144,VA,39999,Mid
MON27,ASUS,Model 19,27,1440x1080,165,TN,41999,Mid-High
MON28,ViewSonic,Model 20,32,3840x2160,240,IPS,43999,High
MON29,Zebronics,Model 21,21.5,1920x1080,60,VA,45999,Budget
MON30,Acer,Model 22,23.8,2560x1440,75,TN,47999,Budget-Mid
MON31,BenQ,Model 23,24,1440x1080,144,IPS,49999,Mid
MON32,Samsung,Model 24,27,3840x2160,165,VA,5999,Mid-High
MON33,AOC,Model 25,32,1920x1080,240,TN,7999,High
MON34,Dell,Model 26,21.5,2560x1440,60,IPS,9999,Budget
MON35,LG,Model 27,23.8,1440x1080,75,VA,11999,Budget-Mid
MON36,MSI,Model 28,24,3840x2160,144,TN,13999,Mid
MON37,ASUS,Model 29,27,1920x1080,165,IPS,15999,Mid-High
MON38,ViewSonic,Model 30,32,2560x1440,240,VA,17999,High
MON39,Zebronics,Model 31,21.5,1440x1080,60,TN,19999,Budget
MON40,Acer,Model 32,23.8,3840x2160,75,IPS,21999,Budget-Mid
MON41,BenQ,Model 33,24,1920x1080,144,VA,23999,Mid
MON42,Samsung,Model 34,27,2560x1440,165,TN,25999,Mid-High
MON43,AOC,Model 35,32,1440x1080,240,IPS,27999,High
MON44,Dell,Model 36,21.5,3840x2160,60,VA,29999,Budget
MON45,LG,Model 37,23.8,1920x1080,75,TN,31999,Budget-Mid
MON46,MSI,Model 38,24,2560x1440,144,IPS,33999,Mid
MON47,ASUS,Model 39,27,1440x1080,165,VA,35999,Mid-High
MON48,ViewSonic,Model 40,32,3840x2160,240,TN,37999,High
MON49,Zebronics,Model 41,21.5,1920x1080,60,IPS,39999,Budget
MON50,Acer,Model 42,23.8,2560x1440,75,VA,41999,Budget-Mid
