id,brand,model,capacity_gb,type,speed_mhz,price_inr,segment
RAM01,Crucial,8GB Single Stick DDR4,8,DDR4,3200,1499,Budget
RAM02,Crucial,16GB (2x8GB) DDR4,16,DDR4,3200,2799,Budget
RAM03,Corsair,Vengeance LPX 16GB (2x8GB) DDR4,16,DDR4,3200,3199,Mid
RAM04,G.Skill,Ripjaws V 16GB (2x8GB) DDR4,16,DDR4,3600,3499,Mid
RAM05,HyperX,Fury 16GB (2x8GB) DDR4,16,DDR4,3200,2999,Mid
RAM06,Corsair,Vengeance 16GB (2x8GB) DDR5,16,DDR5,5600,4299,Mid-High
RAM07,Kingston,Fury Beast 16GB (2x8GB) DDR5,16,DDR5,5200,3999,Mid-High
RAM08,G.Skill,Trident Z5 32GB (2x16GB) DDR5,32,DDR5,6000,9499,High
RAM09,Crucial,Model 1,8,DDR4,3200,1499,Budget
RAM10,Corsair,Model 2,16,DDR5,3600,2099,Budget-Mid
RAM11,G.Skill,Model 3,32,DDR4,5200,2699,Mid
RAM12,HyperX,Model 4,8,DDR5,5600,3299,Mid-High
RAM13,Kingston,Model 5,16,DDR4,6000,3899,High
RAM14,ADATA,Model 6,32,DDR5,3200,4499,Budget
RAM15,Transcend,Model 7,8,DDR4,3600,5099,Budget-Mid
RAM16,Crucial,Model 8,16,DDR5,5200,5699,Mid
RAM17,Corsair,Model 9,32,DDR4,5600,6299,Mid-High
RAM18,G.Skill,Model 10,8,DDR5,6000,6899,High
RAM19,HyperX,Model 11,16,DDR4,3200,7499,Budget
RAM20,Kingston,Model 12,32,DDR5,3600,8099,Budget-Mid
RAM21,ADATA,Model 13,8,DDR4,5200,8699,Mid
RAM22,Transcend,Model 14,16,DDR5,5600,9299,Mid-High
RAM23,Crucial,Model 15,32,DDR4,6000,9899,High
RAM24,Corsair,Model 16,8,DDR5,3200,10499,Budget
RAM25,G.Skill,Model 17,16,DDR4,3600,11099,Budget-Mid
RAM26,HyperX,Model 18,32,DDR5,5200,11699,Mid
RAM27,Kingston,Model 19,8,DDR4,5600,1499,Mid-High
RAM28,ADATA,Model 20,16,DDR5,6000,2099,High
RAM29,Transcend,Model 21,32,DDR4,3200,2699,Budget
RAM30,Crucial,Model 22,8,DDR5,3600,3299,Budget-Mid
RAM31,Corsair,Model 23,16,DDR4,5200,3899,Mid
RAM32,G.Skill,Model 24,32,DDR5,5600,4499,Mid-High
RAM33,HyperX,Model 25,8,DDR4,6000,5099,High
RAM34,Kingston,Model 26,16,DDR5,3200,5699,Budget
RAM35,ADATA,Model 27,32,DDR4,3600,6299,Budget-Mid
RAM36,Transcend,Model 28,8,DDR5,5200,6899,Mid
RAM37,Crucial,Model 29,16,DDR4,5600,7499,Mid-High
RAM38,Corsair,Model 30,32,DDR5,6000,8099,High
RAM39,G.Skill,Model 31,8,DDR4,3200,8699,Budget
RAM40,HyperX,Model 32,16,DDR5,3600,9299,Budget-Mid
RAM41,Kingston,Model 33,32,DDR4,5200,9899,Mid
RAM42,ADATA,Model 34,8,DDR5,5600,10499,Mid-High
RAM43,Transcend,Model 35,16,DDR4,6000,11099,High
RAM44,Crucial,Model 36,32,DDR5,3200,11699,Budget
RAM45,Corsair,Model 37,8,DDR4,3600,1499,Budget-Mid
RAM46,G.Skill,Model 38,16,DDR5,5200,2099,Mid
RAM47,HyperX,Model 39,32,DDR4,5600,2699,Mid-High
RAM48,Kingston,Model 40,8,DDR5,6000,3299,High
RAM49,ADATA,Model 41,16,DDR4,3200,3899,Budget
RAM50,Transcend,Model 42,32,DDR5,3600,4499,Budget-Mid
